CFIHOS unique code,coding source code,CFIHOS code equivalent value,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
CFIHOS-30000026,ISO 14224:2016,DM,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,65,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000026,POSC CAESAR,RDS297764,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,66,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000030,STEPLIB,70095,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,67,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000030,POSC CAESAR,RDS298079,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,68,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000031,ISO 14224:2016,IPFS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,69,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000034,STEPLIB,71280,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,70,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000035,STEPLIB,71227,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,71,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000037,POSC CAESAR,RDS7038826,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,72,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000038,POSC CAESAR,RDS299519,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,73,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000039,STEPLIB,250150,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,74,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000039,POSC CAESAR,RDS5036404627,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,75,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000040,ISO 14224:2016,IPFS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,76,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000042,STEPLIB,130111,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,77,source_reference_record,source_reference_record_unreviewed
