CFIHOS unique code,source standard code,source standard description,source standard still to be completed indicator,,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
CFIHOS-90000084,ISO 13631:2002,Petroleum and natural gas industries — Packaged reciprocating gas compressors,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,84,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000085,ISO 13705:2012,Fired heaters for general refinery service,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,85,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000086,ISO 13706:2011,Air-cooled heat exchangers,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,86,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000087,ISO 13707:2000,PETROLEUM AND NATURAL GAS INDUSTRIES — RECIPROCATING COMPRESSORS,no,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,87,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000088,ISO 13709:2009,"Centrifugal pumps for petroleum, petrochemical and natural gas industries",yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,88,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000089,ISO 13880:1999,Content and drafting of a technical specification,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,89,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000090,ISO 14224:2016,"PETROLEUM, PETROCHEMICAL AND NATURAL GAS INDUSTRIES — COLLECTION AND EXCHANGE OF RELIABILITY AND MAINTENANCE DATA FOR EQUIPMENT",no,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,90,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000091,ISO 15348:2002,PIPEWORK — METAL BELLOWS EXPANSION JOINTS — GENERAL [WITHDRAWN],no,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,91,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000092,ISO 15547-1:2005,Plate-type heat exchangers — Part 1: Plate-and-frame heat exchangers,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,92,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000093,ISO 1680:2013,Acoustics — Test code for the measurement of airborne noise emitted by rotating electrical machines,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,93,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000094,ISO 16812:2019,Shell-and-tube heat exchangers,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,94,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000095,ISO 19901-5:2016,PETROLEUM AND NATURAL GAS INDUSTRIES — SPECIFIC REQUIREMENTS FOR OFFSHORE STRUCTURES — PART 5: WEIGHT CONTROL DURING ENGINEERING AND CONSTRUCTION,no,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,95,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000096,ISO 21049:2004,Pumps — Shaft sealing systems for centrifugal and rotary pumps,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,96,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000097,ISO 23251:2019,"PETROLEUM, PETROCHEMICAL AND NATURAL GAS INDUSTRIES — PRESSURE-RELIEVING AND DEPRESSURING SYSTEMS",no,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,97,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000098,ISO 25457:2008,Flare details for general refinery and petrochemical service,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,98,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000099,ISO 28300:2008,"PETROLEUM, PETROCHEMICAL AND NATURAL GAS INDUSTRIES — VENTING OF ATMOSPHERIC AND LOW-PRESSURE STORAGE TANKS",no,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,99,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000100,ISO 3046-1:2002,"Reciprocating internal combustion engines — Performance — Part 1: Declarations of power, fuel…",yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,100,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000102,ISO 3183:2019,PETROLEUM AND NATURAL GAS INDUSTRIES — STEEL PIPE FOR PIPELINE TRANSPORTATION SYSTEMS,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,101,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000103,ISO 8528-1:2018,"RECIPROCATING INTERNAL COMBUSTION ENGINE DRIVEN ALTERNATING CURRENT GENERATING SETS — PART 1: APPLICATION, RATINGS AND PERFORMANCE",no,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,102,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000106,OCIMF MLA4:2019,Design and Construction Specification for Marine Loading Arms (MLA4),no,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,103,source_reference_record,source_reference_record_unreviewed
