parent equipment class name,equipment class CFIHOS unique code,equipment class name,equipment class definition,abstract class indicator,spare part information required indicator,equipment class existence reason description,equipment class synonym name,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
IT and telecom equipment,CFIHOS-30000402,computer,A physical object that can store data and program(s) that operates on the data. A general purpose computer can be programmed to solve any reasonable problem expressed in logical and arithmetical terms.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,303,source_reference_record,source_reference_record_unreviewed
detecting element,CFIHOS-30000403,conductivity cell,A detecting element or probe that is used with a conductivity meter to measure the conductivity of a liquid.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,304,source_reference_record,source_reference_record_unreviewed
level transmitter,CFIHOS-30000404,conductivity level transmitter,A transmitter that is producing a standardized output signal dependent of a received input signal from a conductivity meter.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,305,source_reference_record,source_reference_record_unreviewed
electrical equipment class,CFIHOS-30000405,control box,A terminal box that is used as accommodation for control function circuits.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,306,source_reference_record,source_reference_record_unreviewed
flow meter,CFIHOS-30000406,coriolis mass flow meter,A mass flow meter that uses the Coriolis principle to measure a mass flow rate through the meter.,no,no,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,307,source_reference_record,source_reference_record_unreviewed
detector,CFIHOS-30000407,corrosion meter,"A detecting instrument intended to measure, indicate and/or produce a signal which represents the rate or degree of corrosion.",no,no,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,308,source_reference_record,source_reference_record_unreviewed
detecting element,CFIHOS-30000408,corrosion element,A detecting element that is a piece of suitable metal meant to corrode and give an indication of the corrosion rate.,no,yes,,corrosion probe,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,309,source_reference_record,source_reference_record_unreviewed
detector,CFIHOS-30000409,counter,"A detecting instrument that counts, especially an electronic or mechanical device that automatically counts occurrences or repetitions of phenomena or events.",no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,310,source_reference_record,source_reference_record_unreviewed
signal converter,CFIHOS-30000410,current to current converter,A signal converter that is intended to convert one current signal to another current signal.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,311,source_reference_record,source_reference_record_unreviewed
signal converter,CFIHOS-30000411,current to pressure converter,A signal converter that is intended to convert an analogue signal (4 - 20 mA) to a proportional linear pneumatic output signal.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,312,source_reference_record,source_reference_record_unreviewed
